elapsed_sec,raw_x,raw_y,raw_z
4.003,5884,-488,14760
4.018,5868,-748,14504
4.031,6052,-452,14680
4.059,5652,-696,14552
4.07,5732,-804,14716
4.082,6084,-76,15112
4.097,6364,704,15616
4.113,6396,516,15416
4.125,6048,-112,14860
4.142,5448,-1292,14332
4.158,5400,-1724,14316
4.174,5344,-1728,14488
4.19,5476,-1408,14836
4.218,5968,-900,15392
4.229,6044,-736,15464
4.239,5996,-464,15200
4.253,5592,-1288,14464
4.269,5104,-3544,13752
4.285,5156,-4184,13800
4.298,5780,-2216,14660
4.313,5968,224,15292
4.331,6912,2504,16248
4.346,6872,3960,16468
4.378,5948,2392,15352
4.389,5164,-1160,13760
4.399,4836,-3860,13108
4.41,4788,-3980,13288
4.425,5616,-2296,14664
4.44,5836,-532,15460
4.456,6420,412,15712
4.473,6136,-28,16180
4.486,6456,-196,15504
4.502,5800,-796,15060
4.532,6288,-1180,14848
4.543,5556,-1380,14560
4.553,5892,-1124,15080
4.564,6072,-792,15184
4.58,6160,-412,15560
4.596,5756,-500,15088
4.612,5660,-1912,14296
4.629,5148,-2748,13720
4.646,5320,-2972,13920
4.659,5688,-1864,14692
4.691,5936,-632,15544
4.702,6068,-248,15500
4.712,6028,-780,14996
4.723,5936,-1512,14576
4.74,5612,-2696,14164
4.752,5632,-1800,14152
4.768,6244,148,14988
4.785,6884,2420,16120
4.801,6756,4212,16300
4.817,6684,2576,15856
4.854,6096,208,14464
4.864,5400,-1932,13584
4.874,4936,-3032,12780
4.886,4916,-2696,13560
4.897,5532,-1128,14520
4.911,6396,500,15920
4.924,7132,1552,16436
4.94,6508,1400,15764
4.957,5816,1056,14992
4.973,6032,-296,14616
5.007,5556,-1720,14504
5.017,5664,-1848,14652
5.028,5896,-1412,15204
5.038,5340,-1152,15532
5.052,6260,-376,14712
5.071,4604,-2508,13848
5.084,5380,-2012,14592
5.097,6072,-1268,14980
5.114,6332,-620,15028
5.13,6200,524,15228
5.173,6224,1500,15204
5.183,6492,1352,15360
5.194,6628,700,15556
5.205,6000,408,15204
5.217,5680,-400,14500
5.228,5612,-832,14536
5.24,5668,-744,14688
5.256,5852,-720,14924
5.273,5976,-396,14932
5.286,5980,-220,14780
5.325,5504,-1332,14340
5.336,5132,-2508,13944
5.347,3032,-1248,17736
5.358,6384,-1392,14028
5.369,4816,-196,15732
5.381,6760,-160,15040
5.396,5652,-52,15084
5.412,5680,-1020,14664
5.429,5920,-1324,14568
5.445,6024,-940,14864
5.482,6148,-72,15044
5.493,6140,120,15188
5.503,6244,504,15320
5.514,6012,56,15176
5.524,6072,-432,15004
5.538,5912,-1112,14432
5.552,5544,-2036,14016
5.568,6680,-2016,14872
5.584,6280,-956,14912
5.6,6432,132,15436
5.638,6424,572,15440
5.649,6320,584,15324
5.659,6176,148,15124
5.669,6284,-276,15128
5.681,6248,-688,14868
5.695,6144,-1124,14828
5.71,6156,-780,14840
5.725,6044,-580,14456
5.74,5936,-640,14608
5.756,5936,-1112,14312
5.794,6360,-1096,14908
5.805,6500,-56,15500
5.815,6496,1392,15632
5.827,6512,1896,15528
5.837,6144,1160,14976
